_id,nom,url,prix_avant,prix_apres,reduction,categorie,sous_categorie,description,images[0],images[1],images[2],images[3],images[4],images[5],images[6],images[7],images[8],images[9],images[10],images[11],images[12],date_scraping
695814a3d3cdbac208713a49,TALKIE WALKIE A522 PORTABLE PAIRE DE 2 AVEC CHARGEUR bon prix en vente au Cameroun,https://nowtechcenter.com/produit/talkie-walkie-a522-portable-paire-de-2-avec-chargeur-bon-prix-en-vente-au-cameroun/,"45,000CFA","34,000CFA",-24%,Nos Services,Nos Services,"TALKIE WALKIE A522 PORTABLE PAIRE DE 2 AVEC CHARGEURFréquence et portée:FréquenceUHF: 400-470 MHzPortée jusqu’à5 kmen terrain dégagé.Batterie et autonomie:BatterieLi-ion 1200mAh, autonomie jusqu’à10 heuresen usage modéré.Fonctionnalités:16 canaux préprogrammés,VOX (mains libres), etsignal d’appel.Construction:Design compact, résistance aux éclaboussures (IPX4), idéal pour un usage léger.Accessoires:Chargeur USB,2 talkies-walkies,clips ceinturepour chaque appareil",woocommerce-placeholder.png,,,,,,,,,,,,,02-01-2026
695814a7d3cdbac208713a4a,Talkie-walkie longue portée BF-UV25 en vente au Cameroun bon prix,https://nowtechcenter.com/produit/talkie-walkie-longue-portee-bf-uv25-en-vente-au-cameroun-bon-prix/,"90,000CFA","72,000CFA",-20%,.Téléphonie,.Téléphonie,"Talkie-walkie longue portée BF-UV25Fréquences:VHF: 136-174 MHzUHF: 400-520 MHzPuissance de transmission: 5W/8WPortée: 5 à 15 km (selon conditions)Batterie: Li-ion 7.4V, 2000mAhAutonomie: 10-12 heuresÉcran: LCD rétroéclairéCanaux: 16 préprogrammés + réglages personnalisésFonctions:VOX (mains libres)Double veille (Dual Watch)Fonction SOS d’urgenceRésistance: Antichoc et étanchéité (IP54 ou IP65)Température de fonctionnement: -20°C à +60°CAccessoires:Batterie, chargeur, antenne, clip ceinture",UV-25-2.jpg,UV-25-3.jpg,UV-25-4.jpg,,,,,,,,,,,02-01-2026
695814aad3cdbac208713a4b,Carte de ville avec notification de position intelligent bon prix en vente au Cameroun,https://nowtechcenter.com/produit/carte-de-ville-avec-notification-de-position-intelligent-bon-prix-en-vente-au-cameroun/,"25,000CFA","20,000CFA",-20%,Accessoires serveurs,Accessoires serveurs,"Les avantages principaux de l’utilisation de myCarte :📍 Localisation précise en temps réel🔔 Notifications intelligentes (mouvement, arrivée, sortie de zone)🏙️ Carte détaillée des villes📱 Compatible avec smartphones et tablettes🔒 Améliore la sécurité des personnes et des biens⚡ Interface simple et rapide à utiliser",kk2-600x600.jpg,kk332-600x550.jpeg,,,,,,,,,,,,02-01-2026
695814acd3cdbac208713a4c,Lecteur d’empreinte hikvision DS-K1201AMF bon prix en vente,https://nowtechcenter.com/produit/lecteur-dempreinte-hikvision-ds-k1201amf-bon-prix-en-vente/,"100,000CFA","55,000CFA",-45%,Lecteurs/pointeuses IPBio,Lecteurs/pointeuses IPBio,"Type: Lecteur biométrique et RFID pour systèmes de contrôle d’accès.Modèle: DS-K1201AMF (variante de la série DS-K1201A).Famille de produits: HikvisionPro Series – Readers.Usage principal: Authentification par empreinte digitale, carte Mifare (13,56 MHz), ou combinaison des deux.Catégorie: Appareil de sécurité électronique destiné aux entreprises, institutions et sites nécessitant un contrôle d’accès fiable.Sécurité du stockage: données d’empreintes digitales cryptées pour éviter toute fuiteCommunication: interfaceRS-485, vitesse de transmission 19 200 bps, avec test CRC pour fiabilitéLecture de cartes: compatible avec cartesM1 (MF 13.56 MHz), distance d’induction30 à 100 mmCapteur d’empreinte: module optique CMOS, activation automatique par infrarougesCapacité de stockage: jusqu’à5 000 empreintes digitalesModes d’authentification: carte seule, empreinte seule, ou carte + empreinteTemps de vérification:1:1 ≤ 1 seconde1:N (jusqu’à 1:1000) ≤ 1 secondeTaux de précision:FRR (False Rejection Rate)≤ 0,01 %FAR (False Acceptance Rate)≤ 0,001 %Indicateurs: LED et buzzer intégrés pour signaler l’étatProtection: circuit de communication isolé optiquement, suppression du bruitIndice de protection: IP65, adapté pour une utilisation en extérieurAlimentation: DC 12 V / 70 mA max",LECTEUR.jpg,,,,,,,,,,,,,02-01-2026
695814aed3cdbac208713a4d,ACCESS POINT UBIQUITI U7-OUTDOOR bon prix en vente,https://nowtechcenter.com/produit/access-point-ubiquiti-u7-outdoor-bon-prix-en-vente/,"250,000CFA","195,000CFA",-22%,Radio sans fil UBIQUITI,Radio sans fil UBIQUITI,"Type: Point d’accès WiFi extérieur (Outdoor Access Point)Modèle:UniFi U7-OutdoorTechnologie: WiFi 7 (802.11be), rétrocompatible WiFi 6 et WiFi 5Matériaux du boîtier: polycarbonate stabilisé UV + alliage d’aluminiumMontage: mural ou sur poteau (supports inclus), diamètre poteau 25–60 mmIndice de protection: IPX6 (résistant aux intempéries)Performances WiFiNorme WiFi: WiFi 7 (802.11be), rétrocompatible WiFi 6 (802.11ax) et WiFi 5 (802.11ac)Flux spatiaux: 4 streamsZone de couverture: 465 m²Nombre max. de clients: 250+Débits max.:5 GHz : jusqu’à 4,3 Gbps (BW240)2,4 GHz : jusqu’à 688 Mbps (BW40)MIMO:5 GHz : 2×2 DL/UL MU-MIMO2,4 GHz : 2×2 DL/UL MU-MIMOAntennes5 GHz:Directionnelle interne : 12,5 dBi, 45° × 45°Omni externe : 4 dBi, 360° × 30°2,4 GHz:Directionnelle interne : 8 dBi, 90° × 90°Omni externe : 3 dBi, 360° × 30°Connecteurs antennes externes: 2 × RP-SMAPuissance & AlimentationPuissance TX max.:5 GHz : 26 dBm2,4 GHz : 23 dBmInterface réseau: 1 port RJ45 2,5 GbEMéthode d’alimentation: PoE+ (42,5–57 V DC)Consommation max.: 19 W",U7.jpg,,,,,,,,,,,,,02-01-2026
695814b0d3cdbac208713a4e,Imprimante Primacy 2 LCD Duplex Expert Contactless (PM2-0019) Bon prix en vente,https://nowtechcenter.com/produit/imprimante-primacy-2-lcd-duplex-expert-contactless-pm2-0019-bon-prix-en-vente/,"2,000,000CFA","1,800,000CFA",-10%,Imprimante PVC Evolis,Imprimante PVC Evolis,"Imprimante à carte  Primacy 2 LCD Duplex Expert ContactlessImprimer des cartes incroyables avec cette imprimante à carte Evolis Primacy 2. Conçue pour la rapidité et la perfection, elle sécurise vos badges et cartes  avec une qualité d’impression irréprochable. Son design élégant et sa simplicité d’utilisation en font le partenaire idéal de votre entreprise.L’imprimante Primacy 2 est idéale pour l’émission instantanée de  :Badges d’employéCartes de contrôle d’accèsCartes de membreCartes de fidélité / cartes cadeauxCarte scolaires / cartes d’étudiantsCarte de transportsCartes bancairesCartes gouvernementalesSpécificités techniquesTechnologies d’impression: Sublimation couleur directement sur la carte/Transfert thermique résine/RewriteImpression recto verso automatiqueRésolution: 300dpi à 1200dpiCapacité du chargeur :  100 cartesEcran LCD TactileEncodeur sans contact (RFID/NFC) intégréVitesse d’impression : Simple face  jusqu’à 280 cartes/heure; Double face jusqu’à 170 cartes/heureCompatible Windows, MacOS et LinuxConnectivité USB 3.0 et Ethernet intégréeTechnologie réinscriptible : possibilité d’effacer et réimprimer certaines cartesContenu du Pack1 licence du Logiciel  Cardpresso XXS1 imprimante Evolis Primacy 2 PM2-00191 câble USB 3.01 alimentation secteur + cordon1 kit de nettoyage de démarrage1 guide utilisateur papier1 accès au logiciel Evolis Premium SuiteAvantagesHaute performance et rapiditéQualité d’impression exceptionnelleSécurité renforcéeFlexibilité et évolutivitéEncodage de carte sans contact (RFID/NFC)",evolis_primacy_2_pm2-0001-e_simplex_1-600x600.jpg,,,,,,,,,,,,,02-01-2026
695814b2d3cdbac208713a4f,Switch TP-LINK TL-SG2424P 24 ports giga bon prix en vente,https://nowtechcenter.com/produit/switch-tp-link-tl-sg2424p-24-ports-giga-bon-prix-en-vente/,"320,000CFA","290,000CFA",-9%,Switchs TP-LINK,Switchs TP-LINK,"Caractéristiques détaillées du TP-LINK TL-SG2424P (24 ports Gigabit)Type de switch :Administrable (Smart Switch, couche 2)Ports :24 ports RJ-45 Gigabit Ethernet (10/100/1000 Mbps)4 emplacements combinés SFP pour fibre optiquePoE (Power over Ethernet) :Compatible IEEE 802.3af/atPuissance totale disponible :180 WPermet d’alimenter directement des points d’accès Wi-Fi, téléphones IP, caméras IP PoENormes supportées :IEEE 802.3i, 802.3u, 802.3ab, 802.3z (Ethernet standards)IEEE 802.3af/at (PoE)IEEE 802.1Q (VLAN), 802.1p (QoS), 802.1s, 802.1w, 802.3ad (Link Aggregation)Fonctions de sécurité :VLAN 802.1QSécurité par portStorm control (contrôle des tempêtes de diffusion)Limitation de débitQualité de service (QoS) :Gestion L2/L3/L4 QoSIGMP Snooping pour optimiser voix et vidéoFormat :Rackable 1UCouleur : NoirApplications typiques :Réseaux d’entrepriseVidéosurveillance IPTéléphonie IPDéploiement Wi-Fi professionnel",switch.jpg,,,,,,,,,,,,,02-01-2026
695814b4d3cdbac208713a50,CAMERA IP DAHUA DH-IPC-HFW2441SP-S 4MP BULLET bon prix,https://nowtechcenter.com/produit/camera-ip-dahua-dh-ipc-hfw2441sp-s-4mp-bullet-bon-prix/,"45,000CFA","42,000CFA",-7%,Cameras DAHUA,Cameras DAHUA,"SpécificationDétailModèleDH-IPC-HFW2441SP-STypeCaméra IP Bullet fixe – 4MP (WizSense)CapteurCMOS 1/2.9″, 4MPRésolution2688 × 1520 @ 20 ips / 2560 × 1440 @ 25/30 ipsObjectifFixe 2.8 mmVision nocturneIR jusqu’à 30 m, StarlightCompression vidéoH.265/H.264, Smart H.265+/H.264+Fonctions d’imageWDR, 3D NR, BLC, HLC, watermark, ROIFonctions intelligentesIntrusion, tripwire, anomalies, SMD PlusStockageMicroSD jusqu’à 256 GoAudioMicro intégréConnectivitéRJ45 Ethernet, PoE, ONVIFAlimentation12V DC / PoEProtectionIP67 (étanche, usage extérieur)",HFW2441SP.jpg,,,,,,,,,,,,,02-01-2026
695814b5d3cdbac208713a51,Caméra IP Dahua DH-IPC-HFW1639TCP-A-IL-0360B-S6 6MP Bullet en vente,https://nowtechcenter.com/produit/camera-ip-dahua-dh-ipc-hfw1639tcp-a-il-0360b-s6-6mp-bullet-en-vente/,"45,000CFA","40,000CFA",-11%,Cameras DAHUA,Cameras DAHUA,"ModèleDH-IPC-HFW1639TCP-A-IL-0360B-S6TypeCaméra IP Bullet intelligente à double éclairage – 6MPCapteurCMOS 1/2.9″, 6MPRésolution3072 × 2048 @ 20 ipsObjectifFixe 3.6 mmVision nocturneDouble éclairage intelligent (IR + lumière blanche), portée 30 mCompression vidéoH.265/H.264, Smart H.265+/H.264+Fonctions d’imageDWDR, 3D NR, BLC, HLC, StarlightFonctions intelligentesIntrusion, tripwire, anomalies, active deterrence (lumière + alarme)StockageMicroSD jusqu’à 256 GoConnectivitéRJ45 Ethernet, PoE, ONVIFAlimentation12V DC / PoEProtectionIP67 (étanche, usage extérieur)",HFW1639.jpg,,,,,,,,,,,,,02-01-2026
695814b7d3cdbac208713a52,Caméra IP Dahua DH-IPC-HDW1639TP-A-IL-0280B-S6 6MP en vente,https://nowtechcenter.com/produit/camera-ip-dahua-dh-ipc-hdw1639tp-a-il-0280b-s6-6mp-en-vente/,"45,000CFA","40,000CFA",-11%,Cameras DAHUA,Cameras DAHUA,"SpécificationDétailModèleDH-IPC-HDW1639TP-A-IL-0280B-S6TypeCaméra IP Dôme intelligente à double éclairage – 6MPCapteurCMOS 1/2.9″, 6MPRésolution3072 × 2048 @ 20 ipsObjectifFixe 2.8 mmVision nocturneDouble éclairage intelligent (IR + lumière blanche), portée 30 mCompression vidéoH.265/H.264, Smart H.265+/H.264+Fonctions d’imageDWDR, 3D NR, BLC, HLC, StarlightFonctions intelligentesIntrusion, tripwire, anomalies, active deterrence (lumière + alarme)StockageMicroSD jusqu’à 256 GoConnectivitéRJ45 Ethernet, PoE, ONVIFAlimentation12V DC / PoEProtectionIP67 (étanche), IK10 (anti-vandalisme)",HDW1639TP.jpg,,,,,,,,,,,,,02-01-2026
